,CarName,CarMileage,CarPrice,CarBadge,CarDealer,CarRating,CarReviewCount,PageNumb
377,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),18
378,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",19
379,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),19
380,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),19
381,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),19
382,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),19
383,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),19
384,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",19
385,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),19
386,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",19
387,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),19
388,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",19
389,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",19
390,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),19
391,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),19
392,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",19
393,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),19
394,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",19
395,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),19
396,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),19
397,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),19
398,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",19
399,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",20
400,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),20
401,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),20
402,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),20
403,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),20
404,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),20
405,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),20
406,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",20
407,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),20
408,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),20
409,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",20
410,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),20
411,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",20
412,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",20
413,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),20
414,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",20
415,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),20
416,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",20
417,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),20
418,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),20
419,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,20
420,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",21
421,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),21
422,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),21
423,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),21
424,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),21
425,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),21
426,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",21
427,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),21
428,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",21
429,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),21
430,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",21
431,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",21
432,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),21
433,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),21
434,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",21
435,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),21
436,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",21
437,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),21
438,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),21
439,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),21
440,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",21
441,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",22
442,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),22
443,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),22
444,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),22
445,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),22
446,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),22
447,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",22
448,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),22
449,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",22
450,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),22
451,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",22
452,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",22
453,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),22
454,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),22
455,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",22
456,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),22
457,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",22
458,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),22
459,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),22
460,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),22
461,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",22
462,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",23
463,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),23
464,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),23
465,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),23
466,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),23
467,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),23
468,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),23
469,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",23
470,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),23
471,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),23
472,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",23
473,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),23
474,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",23
475,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",23
476,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),23
477,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",23
478,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),23
479,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",23
480,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),23
481,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),23
482,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,23
483,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",24
484,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),24
485,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),24
486,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),24
487,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),24
488,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),24
489,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",24
490,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),24
491,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",24
492,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),24
493,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",24
494,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",24
495,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),24
496,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),24
497,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",24
498,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),24
499,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",24
500,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),24
501,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),24
502,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),24
503,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",24
504,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",25
505,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),25
506,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),25
507,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),25
508,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),25
509,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),25
510,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),25
511,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",25
512,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),25
513,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),25
514,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),25
515,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",25
516,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",25
517,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",25
518,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),25
519,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",25
520,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),25
521,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),25
522,2020 Lincoln MKZ Hybrid Reserve,"13,881 mi.","$40,000",Good Deal,"
Way Scarff Ford in Auburn
",4.7,(586 reviews),25
523,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",25
524,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),25
525,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",26
526,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),26
527,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),26
528,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),26
529,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),26
530,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),26
531,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",26
532,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),26
533,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),26
534,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",26
535,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),26
536,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),26
537,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",26
538,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",26
539,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",26
540,2021 Mazda Mazda6 Carbon Edition,"9,815 mi.","$33,998",Good Deal,"
CarMax Spokane - Now offering Curbside Pickup
",5.0,(1 review),26
541,2010 BMW X3 xDrive30i,"89,728 mi.","$12,440",Fair Deal,"
Kuni BMW
",4.7,"(1,397 reviews)",26
542,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),26
543,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),26
544,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),26
545,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,26
