,CarName,CarMileage,CarPrice,CarBadge,CarDealer,CarRating,CarReviewCount,PageNumb
158,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),8
159,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",8
160,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",8
161,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",8
162,2021 Mazda Mazda6 Carbon Edition,"9,815 mi.","$33,998",Good Deal,"
CarMax Spokane - Now offering Curbside Pickup
",5.0,(1 review),8
163,2010 BMW X3 xDrive30i,"89,728 mi.","$12,440",Fair Deal,"
Kuni BMW
",4.7,"(1,397 reviews)",8
164,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),8
165,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),8
166,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),8
167,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,8
168,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",9
169,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),9
170,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),9
171,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),9
172,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),9
173,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),9
174,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),9
175,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",9
176,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),9
177,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),9
178,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),9
179,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",9
180,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",9
181,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",9
182,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),9
183,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",9
184,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),9
185,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),9
186,2020 Lincoln MKZ Hybrid Reserve,"13,881 mi.","$40,000",Good Deal,"
Way Scarff Ford in Auburn
",4.7,(586 reviews),9
